title,description,category,organization,location,time_commitment,latitude,longitude,tags,image_url,source_url,starts_at,ends_at,is_active
LES COUVEES DE COHERENCE PROJET - VDSD 2025,"Retrouvez 6 entrepreneuses engagées, hébergées au sein de la couveuse d’entreprises Cohérence Projets.",benevolat,LES COUVEES DE COHERENCE PROJET,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LES DELICES DES ECUREUILS GOURMETS - VDSD 2025,"Fabrication des pâtes à tartiner Lor&Nut's, artisanales, bio et équitables, 100% naturelles et labélisées Nature & Progrès.",benevolat,LES DELICES DES ECUREUILS GOURMETS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LES JARDINS D'ADONIS - VDSD 2025,"Ferme florale bio à Euvezin : production de fleurs coupées, séchées et comestibles de plein champ, en circuit court pour particuliers et professionnels.",benevolat,LES JARDINS D'ADONIS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LES JARDINS DU PAPI - VDSD 2025,Association d'insertion par l'activité de maraîchage biologique à destination de personnes en difficulté.,benevolat,LES JARDINS DU PAPI,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LES MALICES A MALOU - VDSD 2025,"Des tissus usés, des idées stylées ! Transforme les textiles oubliés en accessoires tendances et décos uniques grâce à l’upcycling et au réemploi de tissus !",benevolat,LES MALICES A MALOU,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LES PLANTES DE ESSE TERRE - VDSD 2025,"Fabrication de tisanes, sirops, baumes, certifiés bio,  à partir de cueillettes sauvages et de permaculture.",benevolat,LES PLANTES DE ESSE TERRE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
L'HERMINE FLAMBOYANTE - VDSD 2025,"Arts du verre et du cristal. Création de bijoux en verre au chalumeau, sculptures en pâte de verre et dessins.",benevolat,L'HERMINE FLAMBOYANTE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LIEN ANIMAUX PATIENTS - VDSD 2025,Facilite l’accès aux soins psychiatriques en organisant la garde et les soins des animaux des personnes hospitalisées.,benevolat,LIEN ANIMAUX PATIENTS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LIFT & CO ASCENSEURS - VDSD 2025,"Installation et maintenance d'ascenseurs de maison, élévateurs PMR et monte-escaliers.",benevolat,LIFT & CO ASCENSEURS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LIGUE GRAND EST DE JUDO - SAKIDO - VDSD 2025,Marque d'upcycling qui trouve une solution pour les kimonos de judo devenus non utilisables.,benevolat,LIGUE GRAND EST DE JUDO - SAKIDO,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LORRAILES CREATIONS - VDSD 2025,"Bouillottes sèches et pochons brodés destinés au bien-être, naturels, éco-conçus, made in Lorraine, aux noyaux de mirabelles. Pour particuliers et professionnels.",benevolat,LORRAILES CREATIONS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LOUIS ET LE BAC'A DONS - VDSD 2025,Gestion d'une recyclerie et d'un Tiers Lieu.,benevolat,LOUIS ET LE BAC'A DONS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
MACIF - VDSD 2025,"Assurance citoyenne et engagée, rassemble 6,37 millions de sociétaires qui mutualisent leurs risques pour protéger ce qui est essentiel : la vie, les proches, les biens.",benevolat,MACIF,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
MAIF - VDSD 2025,Entreprise mutaliste d'assurance de biens et de personnes.,benevolat,MAIF,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
"MARINETTE, LA BISCUITERIE CREATIVE. - VDSD 2025",Biscuiterie créative qui fabrique artisanalement des biscuits sablés à messages.,benevolat,"MARINETTE, LA BISCUITERIE CREATIVE.","Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
MATERIAUX NATURELS DE LORRAINE - VDSD 2025,"Magasin de vente de produits écologiques pour un habitat sain : isolants, enduits, peintures menuiseries, ventilations, éclairage…",benevolat,MATERIAUX NATURELS DE LORRAINE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
OKABEER - VDSD 2025,"Bière artisanale locale, circuits courts, verre réemployé, marchés conviviaux, monnaie Florain, coopérative 7 brasseries Grand-Est pour un avenir solidaire.",benevolat,OKABEER,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
PAYSAGES SUR PAROLES - VDSD 2025,"Propose concertations, études et conceptions en aménagement paysager ainsi que des ateliers-expériences et des formations.",benevolat,PAYSAGES SUR PAROLES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
PLUS PRES DES ETOILES - VDSD 2025,"Atelier d’upcycling textile : fripes transformées en pièces uniques, porteuses d’histoire et de sens.",benevolat,PLUS PRES DES ETOILES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
RACINES CARREES - VDSD 2025,Découverte des plantes du potager à travers des jeux proposés par l'association d'agroécologie urbaine.,benevolat,RACINES CARREES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
RECYCLERIE LA BENNE IDEE - VDSD 2025,"Association spécialisée dans le réemploi et la valorisation des objets de l'habitat (mobilier, décoration, vaisselle et bricolage).",benevolat,RECYCLERIE LA BENNE IDEE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
RECYCLUNE - VDSD 2025,Dynamique collective permettant de consommer autrement : ressourcerie au cœur du quartier des Faïenceries à Lunéville.,benevolat,RECYCLUNE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
RELAIS LORRAINE - VDSD 2025,Entreprise d’insertion à but socio-économique qui collecte et trie le textile puis le réoriente vers le recyclage et le réemploi.,benevolat,RELAIS LORRAINE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
REMISE - VDSD 2025,Structure de l’économie solidaire et circulaire qui œuvre pour la  généralisation des pratiques du réemploi des matériaux dans la construction.,benevolat,REMISE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
RESSOURCES ET PARTAGES® - VDSD 2025,"Fonds de dotation pour agir en faveur de la solidarité et de l'inclusion - Entreprise adaptée Flavien, fabricant de cosmétiques.",benevolat,RESSOURCES ET PARTAGES®,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SAND'CREATION - VDSD 2025,"Artisan cartonniste : création de meubles et objets en cartons de récupération.""Quand ça cartonne on réussit toujours !""",benevolat,SAND'CREATION,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SEMEURS D'ARTS - VDSD 2025,Actions culturelles et artistiques de soutien à des artistes. Développement d'une dynamique culturelle territoriale de proximité.,benevolat,SEMEURS D'ARTS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SHIFTERS NANCY-LORRAINE - VDSD 2025,"Sensibilisation du public à la décarbonation, proposition de leviers d’action et contribution à la transition bas-carbone sur tout le Sud 54.",benevolat,SHIFTERS NANCY-LORRAINE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SNC NANCY - VDSD 2025,Accompagnement gratuit des chercheurs d'emploi via l'écoute active d'un binôme de bénévoles.,benevolat,SNC NANCY,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SO AUTHENTIC - VDSD 2025,"Savonnerie artisanale fait main et sans ingrédient controversé, valorise le savoir-faire local et la simplicité d’une beauté saine et authentique.",benevolat,SO AUTHENTIC,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SPANK ABAT-JOUR - VDSD 2025,Création et restauration de luminaires.,benevolat,SPANK ABAT-JOUR,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
SUPER KWETSCH - VDSD 2025,"Création de culottes menstruelles lavables bio, locales et solidaires.",benevolat,SUPER KWETSCH,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
T'CHANAMI - VDSD 2025,Production de boissons saines fermentées ou non.,benevolat,T'CHANAMI,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
TOYS ACADEMY - VDSD 2025,Recyclerie solidaire dédiée au réemploi de jouets et livres pour enfants. Ateliers de sensibilisation à l’environnement.,benevolat,TOYS ACADEMY,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
UNE POULE SUR UNE YOURTE - VDSD 2025,"Accueil à la Ferme - Un lieu de rendez-vous unique pour vos rencontres professionnelles, vos évènements privés ou vos ateliers.",benevolat,UNE POULE SUR UNE YOURTE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
VANNERIE LES SAUVAJONCS - VDSD 2025,"Vannerie d'osier et de plantes sauvages : créations d'objets de décoration et d'utilité quotidienne (luminaires, corbeilles, paniers, décorations pour la maison et le jardin).",benevolat,VANNERIE LES SAUVAJONCS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
VET ETHIC - VDSD 2025,Vente de produits issus du commerce équitable (vêtements essentiellement).,benevolat,VET ETHIC,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
VOITURE 14 - VDSD 2025,"Association ayant pour but de faire vivre un bar associatif et solidaire, lieu de rencontres et d'échanges.",benevolat,VOITURE 14,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
